"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-06 15:09:04.04","0","4","제주","","","0","0.6","73","2020년 3월 6일 00시","","10","1","18"
"","","2020-03-06 15:09:04.04","0","77","경남","","","3","2.3","72","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","10","984","경북","","","123","37","71","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","4","전남","","","0","0.2","70","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","7","전북","","","0","0.4","69","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","90","충남","","","4","4.2","68","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","15","충북","","","3","0.9","67","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","25","강원","","","2","1.6","66","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","1","120","경기","","","10","0.9","65","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","1","세종","","","0","0.3","64","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","23","울산","","","0","2","63","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","18","대전","","","2","1.2","62","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","13","광주","","","-1","0.9","61","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","9","인천","","","0","0.3","60","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","30","4694","대구","","","367","192.7","59","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","1","95","부산","","","3","2.8","58","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","0","105","서울","","","2","1.1","57","2020년 3월 6일 00시","","","",""
"","","2020-03-06 15:09:04.04","42","6284","합계","","","518","12.1","56","2020년 3월 6일 00시","","","",""
