"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-04-01 10:45:19.19","0","224","검역","隔離區","Lazaretto","7","0","-","763","2020년 04월 01일 00시","","10","1","19"
"","","2020-04-01 10:45:19.19","0","9","제주","济州","Jeju","0","3","1.34","762","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","100","경남","庆南","Gyeongsangnam-do","4","67","2.98","761","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","39","1302","경북","庆北","Gyeongsangbuk-do","2","822","48.90","760","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","12","전남","全南","Jeollanam-do","3","3","0.64","759","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","14","전북","全北","Jeollabuk-do","1","7","0.77","758","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","131","충남","忠南","Chungcheongnam-do","3","91","6.17","757","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","44","충북","忠北","Chungcheongbuk-do","0","23","2.75","756","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","1","38","강원","江原","Gangwon-do","2","23","2.47","755","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","6","499","경기","京畿","Gyeonggi-do","23","171","3.77","754","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","46","세종","世宗","Sejong","0","12","13.44","753","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","1","39","울산","蔚山","Ulsan","0","20","3.40","752","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","36","대전","大田","Daejeon","0","18","2.44","751","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","24","광주","光州","Gwangju","4","14","1.65","750","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","69","인천","仁川","Incheon","5","19","2.33","749","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","115","6704","대구","大邱","Daegu","20","4070","275.15","748","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","3","122","부산","釜山","Busan","3","87","3.58","747","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","0","474","서울","首尔","Seoul","24","117","4.87","746","2020년 04월 01일 00시","","","",""
"","","2020-04-01 10:45:19.19","165","9887","합계","合计","Total","101","5567","19.07","745","2020년 04월 01일 00시","","","",""
