"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-04-16 09:37:24.581","4","3286","검역","隔離區","Lazaretto","11","3134","148","0","11","-","8918","2021년 04월 16일 00시","null","10","1","19"
"","","2021-04-16 09:37:24.581","1","671","제주","济州","Jeju","3","632","38","3","0","100.04","8917","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.581","17","3300","경남","庆南","Gyeongsangnam-do","44","3020","263","44","0","98.18","8916","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.581","77","3767","경북","庆北","Gyeongsangbuk-do","24","3472","218","23","1","141.48","8915","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.58","10","996","전남","全南","Jeollanam-do","6","907","79","6","0","53.41","8914","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.58","57","1787","전북","全北","Jeollabuk-do","15","1482","248","15","0","98.33","8913","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.58","36","2844","충남","忠南","Chungcheongnam-do","13","2635","173","12","1","134.00","8912","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.58","61","2413","충북","忠北","Chungcheongbuk-do","9","2186","166","9","0","150.87","8911","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.58","50","2499","강원","江原","Gangwon-do","7","2328","121","7","0","162.22","8910","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.58","563","31407","경기","京畿","Gyeonggi-do","221","28366","2478","216","5","237.05","8909","2021년 04월 16일 00시","2021-04-17 14:33:19.224","","",""
"","","2021-04-16 09:37:24.58","1","341","세종","世宗","Sejong","3","302","38","3","0","99.61","8908","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.579","37","1410","울산","蔚山","Ulsan","24","1142","231","24","0","122.93","8907","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.579","16","1587","대전","大田","Daejeon","6","1334","237","6","0","107.66","8906","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.579","21","2267","광주","光州","Gwangju","11","2199","47","10","1","155.63","8905","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.579","58","5435","인천","仁川","Incheon","12","5116","261","11","1","183.86","8904","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.579","219","9127","대구","大邱","Daegu","4","8782","126","4","0","374.60","8903","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.579","120","4579","부산","釜山","Busan","44","3872","587","44","0","134.21","8902","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.578","442","35070","서울","首尔","Seoul","216","32153","2475","215","1","360.30","8901","2021년 04월 16일 00시","null","","",""
"","","2021-04-16 09:37:24.578","1790","112786","합계","合计","Total","673","103062","7934","652","21","217.54","8900","2021년 04월 16일 00시","2021-04-17 14:32:47.803","","",""
