header__resultCode,header__resultMsg,body__items__item__createDt,body__items__item__deathCnt,body__items__item__defCnt,body__items__item__gubun,body__items__item__gubunCn,body__items__item__gubunEn,body__items__item__incDec,body__items__item__isolClearCnt,body__items__item__isolIngCnt,body__items__item__localOccCnt,body__items__item__overFlowCnt,body__items__item__qurRate,body__items__item__seq,body__items__item__stdDay,body__items__item__updateDt,body__numOfRows,body__pageNo,body__totalCount
0,NORMAL SERVICE.,00:00.0,5,3964,검역,隔離區,Lazaretto,9,3783,176,0,9,0,9729,2021년 06월 15일 00시,11:33.9,10,1,19
,,00:00.0,1,1198,제주,济州,Jeju,6,1085,112,6,0,178.61,9730,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,20,5049,경남,庆南,Gyeongsangnam-do,3,4765,264,3,0,150.21,9731,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,86,4822,경북,庆北,Gyeongsangbuk-do,5,4617,119,2,3,181.11,9732,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,15,1556,전남,全南,Jeollanam-do,3,1433,108,3,0,83.44,9733,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,58,2298,전북,全北,Jeollabuk-do,4,2190,50,4,0,126.45,9734,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,41,3661,충남,忠南,Chungcheongnam-do,7,3506,114,6,1,172.49,9735,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,69,3162,충북,忠北,Chungcheongbuk-do,14,2911,182,14,0,197.7,9736,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,51,3370,강원,江原,Gangwon-do,3,3191,128,2,1,218.75,9737,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,648,41540,경기,京畿,Gyeonggi-do,120,38895,1997,118,2,313.5,9738,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,1,513,세종,世宗,Sejong,8,485,27,7,1,149.86,9739,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,40,2682,울산,蔚山,Ulsan,4,2579,63,4,0,233.82,9740,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,25,2364,대전,大田,Daejeon,15,2122,217,14,1,160.36,9741,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,23,2872,광주,光州,Gwangju,4,2806,43,3,1,197.16,9742,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,61,6458,인천,仁川,Incheon,12,6194,203,11,1,218.46,9743,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,222,10454,대구,大邱,Daegu,16,9915,317,16,0,429.06,9744,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,124,5952,부산,釜山,Busan,9,5606,222,6,3,174.45,9745,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,502,46730,서울,首尔,Seoul,131,43637,2591,128,3,480.09,9746,2021년 06월 15일 00시,11:33.9,,,
,,00:00.0,1992,148645,합계,合计,Total,373,139720,6933,347,26,286.7,9747,2021년 06월 15일 00시,11:33.9,,,
