"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolingCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-06-19 09:00:00.000","5","4002","검역","隔離區","Lazaretto","12","3811","186","0","12","0.00","9805","2021년 06월 19일 00시","2021-09-16 10:11:33.897","10","1","19"
"","","2021-06-19 09:00:00.000","1","1228","제주","济州","Jeju","7","1141","86","7","0","183.08","9806","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","20","5086","경남","庆南","Gyeongsangnam-do","11","4912","154","10","1","151.31","9807","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","86","4843","경북","庆北","Gyeongsangbuk-do","4","4670","87","4","0","181.90","9808","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","15","1579","전남","全南","Jeollanam-do","5","1479","85","5","0","84.68","9809","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","58","2316","전북","全北","Jeollabuk-do","5","2210","48","5","0","127.44","9810","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","41","3693","충남","忠南","Chungcheongnam-do","12","3563","89","12","0","174.00","9811","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","69","3226","충북","忠北","Chungcheongbuk-do","10","2972","185","10","0","201.70","9812","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","51","3398","강원","江原","Gangwon-do","5","3233","114","5","0","220.57","9813","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","649","42211","경기","京畿","Gyeonggi-do","145","39630","1932","141","4","318.56","9814","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","1","522","세종","世宗","Sejong","2","492","29","2","0","152.49","9815","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","40","2727","울산","蔚山","Ulsan","5","2606","81","5","0","237.74","9816","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","25","2429","대전","大田","Daejeon","5","2215","189","5","0","164.77","9817","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","23","2885","광주","光州","Gwangju","4","2823","39","4","0","198.05","9818","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","61","6531","인천","仁川","Incheon","22","6250","220","20","2","220.93","9819","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","222","10501","대구","大邱","Daegu","13","10079","200","13","0","430.99","9820","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","124","6013","부산","釜山","Busan","18","5676","213","15","3","176.24","9821","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","506","47529","서울","首尔","Seoul","197","44609","2414","193","4","488.30","9822","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-06-19 09:00:00.000","1997","150719","합계","合计","Total","482","142371","6351","456","26","290.70","9823","2021년 06월 19일 00시","2021-09-16 10:11:33.897","","",""
