"header__resultCode","header__resultMsg","body__items__item__createdt","body__items__item__deathcnt","body__items__item__defcnt","body__items__item__gubun","body__items__item__gubuncn","body__items__item__gubunen","body__items__item__incdec","body__items__item__isolclearcnt","body__items__item__isolingcnt","body__items__item__localocccnt","body__items__item__overflowcnt","body__items__item__qurrate","body__items__item__seq","body__items__item__stdday","body__items__item__updatedt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-08-01 09:00:00.000","11","5276","검역","隔離區","Lazaretto","19","4824","441","0","19","0.00","10622","2021년 08월 01일 00시","2021-09-16 10:11:33.897","10","1","19"
"","","2021-08-01 09:00:00.000","1","1752","제주","济州","Jeju","20","1544","207","20","0","259.70","10623","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","22","7287","경남","庆南","Gyeongsangnam-do","84","6152","1113","81","3","218.16","10624","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","87","5484","경북","庆北","Gyeongsangbuk-do","28","5114","283","26","2","207.77","10625","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","17","2044","전남","全南","Jeollanam-do","9","1808","219","9","0","110.39","10626","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","60","2781","전북","全北","Jeollabuk-do","14","2473","248","13","1","154.15","10627","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","45","4992","충남","忠南","Chungcheongnam-do","46","4373","574","42","4","235.36","10628","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","71","3867","충북","忠北","Chungcheongbuk-do","17","3481","315","15","2","241.56","10629","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","55","4537","강원","江原","Gangwon-do","44","3958","524","44","0","294.07","10630","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","684","56186","경기","京畿","Gyeonggi-do","406","49708","5794","393","13","418.45","10631","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","1","745","세종","世宗","Sejong","9","660","84","9","0","209.37","10632","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","41","3226","울산","蔚山","Ulsan","20","3035","150","19","1","283.97","10633","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","30","4258","대전","大田","Daejeon","69","3249","979","67","2","290.87","10634","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","24","3413","광주","光州","Gwangju","14","3187","202","12","2","235.37","10635","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","64","9149","인천","仁川","Incheon","89","7891","1194","87","2","310.89","10636","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","222","11692","대구","大邱","Daegu","23","10902","568","23","0","483.47","10637","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","128","8264","부산","釜山","Busan","58","7119","1017","57","1","243.64","10638","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","535","64823","서울","首尔","Seoul","473","56180","8108","469","4","670.46","10639","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-01 09:00:00.000","2098","199776","합계","合计","Total","1442","175658","22020","1386","56","385.45","10640","2021년 08월 01일 00시","2021-09-16 10:11:33.897","","",""
