"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-03-25 10:41:04.04","0","101","검역","隔離區","Lazaretto","34","0","-","425","2020년 3월 25일 00시","","10","1","19"
"","","2020-03-25 10:41:04.04","0","6","제주","济州","Jeju","2","4","0.60","424","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","90","경남","庆南","Gyeongsangnam-do","0","51","2.68","423","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","28","1262","경북","庆北","Gyeongsangbuk-do","5","538","47.21","422","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","8","전남","全南","Jeollanam-do","2","3","0.32","421","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","10","전북","全北","Jeollabuk-do","0","7","0.55","420","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","123","충남","忠南","Chungcheongnam-do","3","65","5.65","419","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","38","충북","忠北","Chungcheongbuk-do","0","13","2.38","418","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","1","31","강원","江原","Gangwon-do","1","15","1.95","417","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","4","387","경기","京畿","Gyeonggi-do","21","100","2.76","416","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","44","세종","世宗","Sejong","2","3","12.27","415","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","37","울산","蔚山","Ulsan","1","19","3.14","414","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","24","대전","大田","Daejeon","0","6","1.63","413","2020년 3월 25일 00시","2020-03-25 10:41:42.42","","",""
"","","2020-03-25 10:41:04.04","0","19","광주","光州","Gwangju","0","11","1.30","412","2020년 3월 25일 00시","2020-03-25 10:41:22.22","","",""
"","","2020-03-25 10:41:04.04","0","42","인천","仁川","Incheon","1","10","1.39","411","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","92","6456","대구","大邱","Daegu","14","2740","264.4","410","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","1","112","부산","釜山","Busan","1","73","3.25","409","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","0","347","서울","首尔","Seoul","13","72","3.43","408","2020년 3월 25일 00시","","","",""
"","","2020-03-25 10:41:04.04","126","9137","합계","合计","Total","100","3730","17.62","407","2020년 3월 25일 00시","","","",""
