"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-04-30 13:48:55.545","4","3468","검역","隔離區","Lazaretto","5","3271","193","0","5","-","9222","2021년 04월 30일 00시","null","10","1","19"
"","","2021-04-30 13:48:55.545","1","707","제주","济州","Jeju","1","672","34","0","1","105.40","9221","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.545","17","3915","경남","庆南","Gyeongsangnam-do","37","3400","498","37","0","116.47","9220","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","78","4110","경북","庆北","Gyeongsangbuk-do","29","3738","294","28","1","154.37","9219","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","10","1053","전남","全南","Jeollanam-do","5","963","80","5","0","56.47","9218","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","58","1936","전북","全北","Jeollabuk-do","21","1750","128","21","0","106.53","9217","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","36","3033","충남","忠南","Chungcheongnam-do","12","2813","184","12","0","142.90","9216","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","64","2628","충북","忠北","Chungcheongbuk-do","12","2370","194","11","1","164.31","9215","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","50","2684","강원","江原","Gangwon-do","4","2468","166","4","0","174.22","9214","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.544","582","34196","경기","京畿","Gyeonggi-do","151","30949","2665","148","3","258.08","9213","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.543","1","357","세종","世宗","Sejong","1","340","16","1","0","104.29","9212","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.543","38","1879","울산","蔚山","Ulsan","61","1447","394","61","0","163.81","9211","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.543","17","1730","대전","大田","Daejeon","31","1587","126","30","1","117.36","9210","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.543","22","2409","광주","光州","Gwangju","4","2273","114","4","0","165.38","9209","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.543","59","5665","인천","仁川","Incheon","14","5435","171","14","0","191.64","9208","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.543","221","9351","대구","大邱","Daegu","14","8954","176","13","1","383.79","9207","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.542","122","5049","부산","釜山","Busan","32","4515","412","31","1","147.99","9206","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.542","448","37837","서울","首尔","Seoul","227","34477","2912","222","5","388.73","9205","2021년 04월 30일 00시","null","","",""
"","","2021-04-30 13:48:55.542","1828","122007","합계","合计","Total","661","111422","8757","642","19","235.32","9204","2021년 04월 30일 00시","null","","",""
