"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-04-05 10:55:36.36","0","303","검역","隔離區","Lazaretto","24","2","-","839","2020년 04월 05일 00시","","10","1","19"
"","","2020-04-05 10:55:36.36","0","12","제주","济州","Jeju","3","4","1.79","838","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","109","경남","庆南","Gyeongsangnam-do","1","77","3.24","837","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","44","1314","경북","庆北","Gyeongsangbuk-do","4","899","49.35","836","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","15","전남","全南","Jeollanam-do","0","4","0.80","835","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","16","전북","全北","Jeollabuk-do","1","7","0.88","834","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","135","충남","忠南","Chungcheongnam-do","0","102","6.36","833","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","45","충북","忠北","Chungcheongbuk-do","0","28","2.81","832","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","1","45","강원","江原","Gangwon-do","3","24","2.92","831","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","7","572","경기","京畿","Gyeonggi-do","10","208","4.32","830","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","46","세종","世宗","Sejong","0","15","13.44","829","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","1","40","울산","蔚山","Ulsan","0","27","3.49","828","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","37","대전","大田","Daejeon","1","18","2.51","827","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","27","광주","光州","Gwangju","1","15","1.85","826","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","79","인천","仁川","Incheon","2","25","2.67","825","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","127","6768","대구","大邱","Daegu","7","4773","277.78","824","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","3","122","부산","釜山","Busan","0","90","3.58","823","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","0","552","서울","首尔","Seoul","24","145","5.67","822","2020년 04월 05일 00시","","","",""
"","","2020-04-05 10:55:36.36","183","10237","합계","合计","Total","81","6463","19.74","821","2020년 04월 05일 00시","","","",""
