"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2020-04-16 16:16:49.49","0","397","검역","隔離區","Lazaretto","4","4","393","0","4","-","1204","2020년 04월 16일 00시","","10","1","19"
"","","2020-04-16 16:16:49.49","0","13","제주","济州","Jeju","0","5","8","0","0","1.94","1203","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","115","경남","庆南","Gyeongsangnam-do","0","82","33","0","0","3.42","1202","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","50","1352","경북","庆北","Gyeongsangbuk-do","4","1044","258","4","0","50.78","1201","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","15","전남","全南","Jeollanam-do","0","7","8","0","0","0.80","1200","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","17","전북","全北","Jeollabuk-do","0","9","8","0","0","0.94","1199","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","139","충남","忠南","Chungcheongnam-do","0","115","24","0","0","6.55","1198","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","45","충북","忠北","Chungcheongbuk-do","0","34","11","0","0","2.81","1197","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","1","52","강원","江原","Gangwon-do","1","27","24","1","0","3.38","1196","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","14","649","경기","京畿","Gyeonggi-do","4","330","305","1","3","4.90","1195","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","46","세종","世宗","Sejong","0","21","25","0","0","13.44","1194","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","1","42","울산","蔚山","Ulsan","0","34","7","0","0","3.66","1193","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","39","대전","大田","Daejeon","0","25","14","0","0","2.65","1192","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","28","광주","光州","Gwangju","0","22","6","0","0","1.92","1191","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","0","88","인천","仁川","Incheon","0","51","37","0","0","2.98","1190","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","158","6827","대구","大邱","Daegu","4","5586","1083","4","0","280.20","1189","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","3","130","부산","釜山","Busan","3","111","16","0","3","3.81","1188","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","2","619","서울","首尔","Seoul","2","250","367","1","1","6.36","1187","2020년 04월 16일 00시","","","",""
"","","2020-04-16 16:16:49.49","229","10613","합계","合计","Total","22","7757","2627","11","11","20.47","1186","2020년 04월 16일 00시","","","",""
